"F_126","F_127N","F_127C","F_128C","F_129N","F_129C","ID","Acc"
5204.9107669,11188.21704,10962.509278,27679.622071,21637.654298,19417.996583,"O00231","O00231"
3203.3549806,6119.262816,5247.67749,14398.911132,13644.192871,10598.473633,"O00232","O00232"
20116.1529414,29478.679609912,29865.613824694,70718.0336306,62654.194418544,51015.890957192,"O00299","O00299"
4955.260917316,10431.113680302,8552.109689828,21474.842348,16485.85844737,19269.600475694,"O00410","O00410"
18516.235545599,21302.4153778,25957.004930248,53714.8648678,51240.009515664,43888.202248608,"O00567","O00567"
3607.2533854,2330.5772092,5107.928589,4838.991089,4497.414917,5402.622437,"O00571","O00571"
1032.204589884,1578.964332254,1102.223877,1560.659438442,1383.604248,1388.9345704,"O00764","O00764"
28207.926320952,47016.989514093,41039.98828806,89393.543686673,85051.3393028,71948.28324902,"O14745","O14745"
1788.9592286,2300.505372,2447.365722,9254.362304,6284.694824,4384.588868,"O14818","O14818"
3342.712647,3934.673095,3006.616943,9084.000244,6753.508545,5494.202637,"O15027","O15027"
1988.684886235,2464.737854,4179.7556148,7219.5606699,6353.416139,6636.761352,"O15355","O15355"
5094.955466316,7793.973839838,10150.120457697,22367.859313,39935.3182412,32253.5672044,"O15372","O15372"
1802.630557918,2449.98419677,1806.418243422,2971.4399412,3426.244731174,2448.456856498,"O15400","O15400"
10013.976231411,15857.202265196,18015.2417613,39652.482177,33355.545776,31259.565796,"O43175","O43175"
9147.657228,13105.486084,10637.250488,25387.65918,23981.109864,18854.03125,"O43242","O43242"
29710.687615528,33087.627948432,46726.787816612,117166.717241306,97540.2512138,75435.118880288,"O43390","O43390"
6021.691153908,7479.923194264,10737.02927172,19502.843994,19203.320068,14249.113524,"O43396","O43396"
22488.532341149,33773.91607739,39214.0375364,96088.821773,100960.667614,78290.595581,"O43615","O43615"
67759.002711348,104962.403536206,105705.481685738,223517.2562946,213981.115058604,205531.491744556,"O43707","O43707"
5396.734618,8438.306886,9887.859864,15699.093262,18468.408204,10978.49756,"O43719","O43719"
6897.28833,9700.930908,8817.090088,16723.203124,14982.644531,12601.668946,"O43747","O43747"
12928.786765963,21745.809251598,22154.081469812,76946.6618038,83011.9584926,60962.7965094,"O43772","O43772"
14388.379202076,22338.5144991,22161.782482434,51560.345937,43263.207716792,33099.77088,"O43776","O43776"
21681.6746205,24528.5952159,25677.909367352,80617.292373,68640.272955,45404.3171422,"O43852","O43852"
16167.877887048,19259.5206312,18185.617863984,54350.405516,47456.58862,35226.6980044,"O60313","O60313"
9300.159132388,15306.616060478,21205.965801616,41964.4068031,40780.1312306,29094.338800618,"O60506","O60506"
14502.58023477,22529.0273438,21316.8218394,48330.702515,36552.026123,37246.856694,"O60711","O60711"
7572.361035545,9092.1375116,9884.263184,17514.353515,12633.479981,13629.34082,"O60763","O60763"
21660.401191423,26582.897162328,27130.406802547,65519.399991318,57953.691290984,50035.189095717,"O75083","O75083"
3688.1496583,5552.2685547,5153.792896354,9583.354614,10861.659791,8906.308961,"O75152","O75152"
4862.1316523,7011.50469237,5944.062231049,17405.5648181,18328.313233,29619.279291,"O75153","O75153"
20728.838990175,18971.576059435,27245.875493543,60188.8280056,54339.537955016,40217.195065,"O75390","O75390"
5657.649415,6620.136963,5061.358887,14451.08545,15003.648438,8506.901612,"O75475","O75475"
22241.627933808,29959.087511512,31343.150128908,63401.174670786,54218.087894814,49352.67784265,"O75533","O75533"
7264.635967919,7881.556569174,9824.002697147,17175.575317,17931.633911,13729.1898797,"O75643","O75643"
8387.231934,12930.084228,9024.086914,22268.88086,24353.804198,21953.855958,"O76024","O76024"
8487.127388328,15016.3939212,14967.13018717,36089.2229,32667.248778,35821.802002,"O94776","O94776"
10035.01511637,11654.453037848,18175.889362638,30877.880492,25287.4071049,18823.3802477,"O94925","O94925"
7565.907142739,8945.9728391,10045.202014201,24890.216552,21321.94751,15935.141481,"O95202","O95202"
953.151028738999,1154.653442,1159.456801184,2669.388672,2507.95459,1832.644775,"O95319","O95319"
7767.982857909,11439.2797853,10918.815185,25262.408205,20255.019288,18403.561035,"O95757","O95757"
27682.835695,36350.510011,39946.274414,104169.551258,102353.694346,71264.538577,"O95831","O95831"
9456.7294925,10552.8234253,12392.721862,41515.084108,35362.163093,24292.235479,"O96000","O96000"
44729.320389413,71889.16539695,83858.013874528,212980.1189054,175812.634897772,143536.14343563,"P00338","P00338"
20254.950426604,32777.2628176,36649.980125332,112867.409654,100000.681404,73541.804942,"P00367","P00367"
4546.982788,5555.301269,7105.214843,22494.629882,19278.115723,19991.562012,"P00441","P00441"
23639.177396842,38327.72656276,40147.026492,82976.393304,76627.197996,54444.9731402,"P00505","P00505"
107528.493557306,210492.171510455,219686.607731945,562531.6897892,478714.4853907,393974.5981421,"P00558","P00558"
41049.590968621,53671.901124,60972.787903716,132470.992661,119551.825803,87782.9972,"P02545","P02545"
4707.814522453,8135.952826756,7109.872327478,20848.2140495,18979.9074702,11233.5795894,"P02786","P02786"
544518.720677949,1040702.82197559,1084554.12784649,2405166.1337296,2010405.97254044,1780799.55493431,"P04075","P04075"
10846.426621527,13174.1825564,12506.708412405,28186.1767532,30579.9678965,22735.111573,"P04080","P04080"
415453.579680322,586806.477091605,608127.582130366,1407776.51911507,1173411.1845688,1050186.76943365,"P04406","P04406"
160796.054203619,230009.998801047,241874.815173659,623738.8160892,577122.3274038,416367.3302674,"P04843","P04843"
6247.826749503,7488.82559674,6439.03762399,14744.7167353,13669.136022488,7089.7232671,"P04844","P04844"
2172.125178835,2526.3470458,2559.2352896,6837.369629,6488.797486,4882.0148931,"P04899","P04899"
13783.4739992,23312.026122,24494.9843752,55748.961424,58090.874998,44758.510742,"P05023","P05023"
1057.260376,1835.733166572,2012.659912,5455.365234,2410.132324,2582.588624,"P05141","P05141"
148017.731088758,187393.704709453,174464.451016335,242791.94396559,203894.769155511,238319.464980952,"P05165","P05165"
2066.1360169,5748.5939025,4689.674071,15113.418213,14860.501465,10952.706177,"P05198","P05198"
12456.122315,18524.494629,17963.254883,45296.14063,37176.042001,32928.985357,"P05455","P05455"
46856.579073606,61392.847130562,66613.01002388,189835.2585398,184380.110832,120387.948891772,"P06576","P06576"
202508.234922744,347360.008500406,359566.280612335,850682.0940955,731960.777340377,570137.354004939,"P06733","P06733"
44134.40406,65381.174323,82677.21973,176584.139157,155116.275394,137034.114264,"P06744","P06744"
170244.692034247,316155.692430923,322764.908926851,765605.121242573,656142.718091397,436754.223646564,"P06748","P06748"
17712.76172,23529.40918,31611.666992,59171.7832,66002.86914,55192.21874,"P06753","P06753"
4959.85498,9103.167968,11805.75293,41628.375,41315.16796,29847.18164,"P07099","P07099"
7946.65806335,9722.24663815,10441.505555,24392.5875246,24022.302161168,18452.260315685,"P07195","P07195"
188705.876447818,282809.703938318,300541.127987355,818750.095612434,769165.696186964,543339.563224256,"P07237","P07237"
3537.896056999,3633.216425386,5110.126371478,14791.078209623,15333.96297154,12704.5817863,"P07339","P07339"
11185.648863726,13757.354642532,13305.6500258,25760.4821766,26105.891359,24198.514594744,"P07355","P07355"
4823.811603472,8850.093666336,9412.6290274,19572.367676,17562.7362052,13883.1839602,"P07384","P07384"
1574.999058244,2579.963022174,2107.89797367,3656.632567354,4113.14365278,3049.1813968,"P07437","P07437"
13913.194032588,19650.26960871,19482.086424,50386.209972,42339.2193662,33837.615238,"P07686","P07686"
16617.5596236,19074.216196134,20111.123538596,48663.1759068,54845.3403972,42676.8026818,"P07737","P07737"
67068.140444383,113958.609844585,111861.110821004,252277.978883,219565.101065734,198447.9615626,"P07814","P07814"
30462.660825624,47896.335955615,57422.75593266,113936.143053527,112289.87048552,93845.2891311,"P07900","P07900"
