"F_126","F_127N","F_127C","F_129C","F_130N","F_130C","ID","Acc"
282079.620599726,484297.802736999,753518.145836501,3077138.2280215,2918730.52027817,4225175.7416971,"GID4-FLAG","GID4-FLAG"
6673.872281492,6380.339587226,15956.1733706,25404.3433576,21540.28238562,26675.0270386,"O14654","O14654"
7695500.8525725,4648870.1766249,11916710.263361,9737784.9721769,11850646.9354541,12315958.0704265,"O14744","O14744"
18172.246586,16851.9602022,62508.801022,75710.051274,60238.516112,78024.622564,"O43143","O43143"
7594.137207,7191.210449,24264.96289,28253.4707,18193.07422,22863.89648,"O43390","O43390"
36190.903316,27523.76758,106226.42969,42274.029294,42546.61523,67710.8047,"O60825","O60825"
26256.701657,17623.149171,35941.562505,16444.198242,20070.232422,21178.144043,"O75223","O75223"
56749.1472778,47429.531245,117422.145504,121960.775139,136596.617425,143118.42602,"O75533","O75533"
1030043.9226605,864863.3816028,3373016.9507932,1187327.0760811,1106751.5174573,1843588.6615193,"O75688","O75688"
27124.678706,28458.499998,109727.63282,60203.064452,61332.74415,86884.17578,"O75821","O75821"
34846.462022166,21968.6633884,137941.085087,43875.3021171,57064.4950212,97057.4448887,"P00441","P00441"
1055.050293,1651.689209,3531.821045,1815.031494,1785.14563,2059.229248,"P00558","P00558"
110511.1578385,104741.3659421,274529.046639,311167.384735,971553.840995861,4436100.45712,"P02452","P02452"
218788.941542,213642.083736,680517.081057,309195.875832,257625.302255,282638.655692,"P04406","P04406"
97084.570317,91224.322261,206476.6582,127785.610347,102069.506843,112269.685552,"P05089","P05089"
72081.019903,56603.710812,356023.404306,259692.401378,248597.576178,255330.248056,"P05204","P05204"
4852.828857,2493.6859741,5739.162232,4357.1260376,9298.204102,5425.1882926,"P06702","P06702"
93580.14454,68881.53711,385436.60156,95952.19531,102132.86523,183944.82813,"P06733","P06733"
127176.09473,181556.53809,554122.54686,363597.42579,332320.53905,453552.17969,"P06748","P06748"
121623.48047,95984.90625,192567.66407,99769.64062,107050.32031,111507.40625,"P07339","P07339"
1966.0581054,1611.9666748,3508.154052,1483.4606934,2358.101806,2369.842286,"P07355","P07355"
569.4046479,655.7005005,2577.687867,1161.9652404,1631.6713868,1472.6476441,"P07437","P07437"
36427.051264,36088.48779,152312.16405,58374.483402,69227.461918,86498.939454,"P07900","P07900"
9439.24121,6608.033204,33342.2461,19253.59961,21886.9121,16016.31543,"P07910","P07910"
58717.235352,65731.458981,148552.365237,153906.128664,96468.860346,1543533.78915,"P08123","P08123"
8711.284546,7757.62439,28154.307128,16313.731933,13455.316161,18310.281007,"P08238","P08238"
35784.779055,26235.300048,133024.260249,64192.025141,70957.559571,88205.674327,"P09874","P09874"
96434.0761078,93620.1052259,295185.2579634,137800.8504688,139940.772827,171981.1915268,"P10809","P10809"
37623.760747,40305.48975,135375.62598,72068.527343,66020.836428,78481.89063,"P11021","P11021"
155672.69581,167543.404059,513515.00791,298982.648903,288496.555668,332453.95019,"P11142","P11142"
23583.901607,19710.74878,94638.21876,48115.965816,49722.67676,61464.447267,"P12268","P12268"
24126.5497426,21043.5590188,62724.139895,56281.467038,62201.433593,69510.201668,"P12956","P12956"
16302.230957,10150.28296,35627.796885,40553.398431,44694.26563,63195.21776,"P13010","P13010"
3799.802369,3085.9411626,7720.724365,7591.363769,9497.758302,14602.940918,"P13489","P13489"
67836.356936,61022.403313,284905.35742,103738.90039,102173.71681,170905.83984,"P13639","P13639"
14920.713378,15971.429199,50248.01074,47916,46945.32227,78783.30665,"P14866","P14866"
25012.576665,26308.128174,74260.19628,41272.172368,39049.382815,42302.209962,"P14923","P14923"
142839.9716851,142598.8584548,433864.2594107,511005.119742,540199.694255,557110.875398,"P15880","P15880"
10334.88867,6159.007324,24383.12891,25369.70703,32096.24219,29494.875,"P16403","P16403"
149053.123661,138326.5592155,503402.408915,446315.643815,439186.07762,457257.717079,"P19338","P19338"
194626.366541199,173814.9434152,456937.4928415,313590.4892721,333891.090823,383439.4533174,"P21333","P21333"
48745.188476,45419.4620352,168946.202154,91639.948246,106196.76221,120081.369618,"P22626","P22626"
411200.329003,314061.521735,689816.003964,955938.44737,1347097.50666,1168120.363394,"P23284","P23284"
129882.2169889,124969.9721749,369362.093517,393788.300503,468896.66727,502114.444704,"P23396","P23396"
2574052.1107887,2308769.27393646,5381920.0819363,2961544.95717347,3183527.89307205,4084116.4733781,"P23588","P23588"
13233.892334,13525.04126,47076.905275,57678.7793,60796.220712,69490.47266,"P25398","P25398"
44166.009763,52549.292975,150214,71985.95605,79683.54491,107928.08204,"P25705","P25705"
155710.62818,138609.002937,565550.688562,220187.203132,205630.316664,305968.977566,"P25789","P25789"
