"F_126","F_127N","F_127C","F_128N","F_128C","F_129N","ID","Acc"
472859.662614,104170.6555249,412660.819084,312997.2569766,276594.5478576,416694.882551,"A0AVT1","A0AVT1"
347440.187432,86405.8713878,118990.332166,97579.4323975,88308.4016854,107645.5413751,"A0MZ66","A0MZ66"
1146890.6690012,183243.0539028,580275.6558452,510243.2243234,478885.5065424,525781.314161,"A6NDG6","A6NDG6"
67794.343262,16087.82251,33593.6312258,31421.3128958,27557.224608,31368.511475,"A6NIH7","A6NIH7"
166352.6106449,30832.4891207,165401.5516968,142104.4136114,130461.2277409,167748.9950922,"A8MXV4","A8MXV4"
423898.1875,144055.5625,388760.7813,329976.8438,331504.4063,375845.7813,"E9PAV3","E9PAV3"
866684.9421212,79037.318539,489564.6584518,349532.6490116,293771.5323574,479050.251959,"O00116","O00116"
203016.195019,52445.1659165,281873.2334756,200180.1545786,175175.4661912,286129.6983142,"O00139","O00139"
78683.3642716,50949.1664333,91671.417721,89066.9584668,58253.0146325,106243.857425,"O00148","O00148"
1888825.7320003,895278.6681191,913756.1817628,761420.9289564,727827.000517,818469.8154985,"O00151","O00151"
2896284.4522788,544259.1274224,1288252.7457133,1296129.9935046,1276428.6672181,1337405.4520712,"O00154","O00154"
1312566.518882,200266.828035,803723.63379,680214.337894,550632.365236,877331.071282,"O00170","O00170"
121147.2419018,19277.1761485,84203.0364817,65285.5714198,54934.2834185,84574.5998343,"O00178","O00178"
5516806.26309,2085803.4794658,1477523.9488218,1354817.0145961,1255371.3358728,1165218.248315,"O00193","O00193"
643129.4829055,65941.6281371,571484.7178179,411676.6875414,272253.1111518,593957.700315,"O00231","O00231"
532105.8242,109203.467155,541796.931146,389535.625488,295942.806652,579760.506886,"O00232","O00232"
1682140.657587,680640.3175176,689195.1792028,539164.802306,484107.7695952,570605.5626402,"O00233","O00233"
186742.170149,95216.2534843,133049.1681923,92621.6648597,89471.6167564,103219.9184009,"O00244","O00244"
608882.0703868,117571.5034618,285713.9541564,189910.1107254,170300.0447422,253125.353151,"O00264","O00264"
135595.24121,22345.8573002,86405.65454,48340.489014,46093.082028,85916.595458,"O00267","O00267"
2714253.9879088,1666701.7752022,1675798.8179539,1279379.7440005,1305773.3875041,1442938.4179358,"O00273","O00273"
1641104.7899696,161207.9635669,1101094.8803856,963952.218321,884313.3487423,1213550.1061073,"O00299","O00299"
1624428.4723972,183827.4854987,1472364.8420198,939938.8440323,668134.927176,1463270.2774108,"O00410","O00410"
598137.628895,87439.0537513,354793.9895322,274016.417095,176944.3054734,324609.214206,"O00422","O00422"
883176.895477,124194.9977172,921233.0024324,543376.4165022,390660.1633378,998337.170202,"O00425","O00425"
296387.4457175,36664.6356476,149705.4600388,101784.2763257,81933.6638132,140394.1442578,"O00429","O00429"
1952046.1055,842326.111386,598807.669894,548798.9951,486665.88574,470427.833426,"O00479","O00479"
807000.661162,96974.4356368,807578.872055,494758.363474,402059.8545372,733630.60255,"O00487","O00487"
814833.9167234,162360.593547,431146.5344487,341130.5173902,263944.4393396,422707.7641626,"O00567","O00567"
655046.841309,117736.882962,836564.350566,550175.803821,373014.895023,1019649.027489,"O00571","O00571"
186984.879878,35004.430534,68441.649295,53035.889414,47555.7006327,52428.805053,"O00584","O00584"
117772.978037,28014.8578908,94223.5827679,63330.4960668,59367.3394953,83699.1388263,"O00625","O00625"
952968.171394,223463.2365972,627162.651673,477517.626433,476409.0346664,584480.7934078,"O00743","O00743"
1679457.4368636,299093.0243262,985977.9875028,976111.1294626,1001350.1593364,1025369.3498134,"O00764","O00764"
1001563.169702,102744.7502044,489757.870228,469568.2493872,411660.4683136,483702.23446,"O14531","O14531"
774954.924806,232709.443288,485759.974668,344187.091114,352951.904419,442043.1182158,"O14562","O14562"
361470.810921,70602.9589625,204740.1735657,154490.5871008,145939.8764595,174048.993419,"O14618","O14618"
983287.459476,228104.5664142,394560.6118082,264737.7560984,196922.7645716,342254.6153224,"O14654","O14654"
69314.2330414,20243.8571877,36616.592283,33752.4111112,31065.2949631,35357.3068689,"O14686","O14686"
11031692.102701,4682222.0269189,2229345.8737645,1967230.1628405,1845219.4234353,1504607.2828168,"O14737","O14737"
1610769.1822081,127359.1738701,806477.2765423,643159.8218516,630068.662766,773022.960729,"O14744","O14744"
387359.140881,146214.1836578,128596.006954,101066.0754271,98611.2883403,106391.7830314,"O14745","O14745"
2327885.0640356,428890.8977795,1352640.652345,1194233.8296964,1013324.1450584,1467221.9105874,"O14776","O14776"
1003638.562748,301149.9053515,697768.5103396,578456.1428983,566403.5522502,651482.7725339,"O14818","O14818"
46995.49609,10639.61523,45034.64453,27021.83594,23295.90625,42509.57813,"O14910","O14910"
387658.7016936,45738.3548882,383650.8757478,363483.2377789,244337.6464162,500738.3156537,"O14929","O14929"
1137284.48438,153120.226558,779433.27338,489281.67588,367190.42196,715844.49994,"O14949","O14949"
862759.704244,163603.5303882,437512.55176,307933.443346,252956.969746,369503.986346,"O14964","O14964"
225171.590811,69719.0542147,86643.3844256,74533.7926371,70682.4758114,73630.2406005,"O14974","O14974"
5738071.3285076,1267952.4946768,2305668.2206211,1708805.1270999,1331754.3257564,2086787.1902818,"O14979","O14979"
303421.609133,73739.9490289,641385.6160442,376279.6318266,252264.2504352,664383.408253,"O14980","O14980"
174158.3580326,51866.628959,57476.6361616,49253.7636574,40223.0778418,53471.1381914,"O15027","O15027"
1928189.2021556,194280.5404803,1051242.5095806,787526.7065372,726838.1968181,1145360.642191,"O15067","O15067"
704177.763212,173075.210446,544158.646013,511311.868676,499026.326679,534868.526353,"O15144","O15144"
264460.2871165,80337.9231646,300386.3454482,260557.376504,273882.9902465,292719.3115991,"O15145","O15145"
137152.225596,21524.077457,90251.4929204,65117.116806,49328.292251,84961.2859526,"O15160","O15160"
46420658.170158,15429992.8442574,14087770.3209851,13002003.8766758,12044566.9915348,11899144.5063777,"O15347","O15347"
4283776.572979,834343.7206652,2402091.0578733,1607598.7388034,1265704.6608161,2355748.997589,"O15355","O15355"
178991.8748179,38957.6746219,159331.5949211,100585.154543,64142.6702934,168948.4936224,"O15371","O15371"
756327.6607815,68852.4082409,350332.8693534,370425.8930184,229057.6840804,427816.2241187,"O15372","O15372"
206141.5699912,51454.2536772,128760.7120106,105630.1722362,100544.2868922,127618.136161,"O15382","O15382"
511550.76952,158237.21777,239040.88086,162101.50195,147450.74219,206144.10742,"O15400","O15400"
371252.5538856,115147.7902335,313749.5230474,264626.6402836,260551.9809148,306239.6138168,"O15511","O15511"
7610876.6827244,815111.6245765,4583887.7303532,3930649.4563392,3478265.5695267,4247799.4300842,"O43143","O43143"
507704.393105,48658.0575,224686.069339,136837.448489,141921.166769,179913.651113,"O43148","O43148"
2887992.0735359,241315.2656942,1425411.306207,1017118.5206033,846070.8543405,1362655.7757843,"O43172","O43172"
16353722.7464328,1088678.325825,8920714.6967113,6479010.996393,6406445.081312,7835707.671906,"O43175","O43175"
247311.14209,41985.7562351,169290.428965,119487.3641941,84192.086425,173190.330698,"O43237","O43237"
2010806.8269138,351203.5441751,1653213.7942944,1285060.4413716,1061824.0576179,1668808.3035265,"O43242","O43242"
383722.331601,77054.2970764,345122.7247402,287802.7555004,297388.2885884,406091.532444,"O43252","O43252"
1336954.046959,429966.0610887,492322.5129397,415080.5264031,362757.1387861,462215.1378397,"O43290","O43290"
668381.225547,61673.569257,312032.042505,264133.227297,180891.665893,325169.369374,"O43324","O43324"
2025755.639034,262932.0336664,2880188.498069,1654937.9983858,1260349.4866053,3266647.9724931,"O43390","O43390"
1308124.9359647,253808.773553,634997.922384,494134.0194257,393142.7893493,605282.3363905,"O43395","O43395"
691367.321084,88527.9113428,384041.284453,346795.9279934,310425.271135,435389.129263,"O43396","O43396"
2947518.789623,956559.2870392,1255759.7214498,1023304.9331516,805219.55645,1109115.7476253,"O43399","O43399"
