P08238,HSP90AB1
P35579,MYH9
P60709,ACTB
P38646,HSPA9
P14625,HSP90B1
P11498,PC
P02545,LMNA
P11021,HSPA5
Q13085,ACACA
P07900,HSP90AA1
P20700,LMNB1
Q13813,SPTAN1
P11142,HSPA8
Q01082,SPTBN1
P02533,KRT14
P13639,EEF2
P22626,HNRNPA2B1
P09651,HNRNPA1
P10809,HSPD1
Q09666,AHNAK
P35580,MYH10
P07437,TUBB
Q6P2Q9,PRPF8
Q7KZF4,SND1
P25705,ATP5F1A
Q00610,CLTC
P55072,VCP
O43707,ACTN4
P07237,P4HB
P61978,HNRNPK
P23246,SFPQ
Q07065,CKAP4
O00567,NOP56
O75533,SF3B1
P07355,ANXA2
P35232,PHB
Q08211,DHX9
P17844,DDX5
Q03252,LMNB2
Q9Y490,TLN1
P38159,RBMX
P21333,FLNA
Q00839,HNRNPU
P26038,MSN
P19338,NCL
P14618,PKM
O60506,SYNCRIP
Q14152,EIF3A
P62805,H4-16
P62805,H4C1
P62805,H4C11
P62805,H4C12
P62805,H4C13
P62805,H4C14
P62805,H4C15
P62805,H4C2
P62805,H4C3
P62805,H4C4
P62805,H4C5
P62805,H4C6
P62805,H4C8
P62805,H4C9
P06748,NPM1
O00571,DDX3X
Q9P2E9,RRBP1
Q9UQE7,SMC3
Q8NC51,SERBP1
P62258,YWHAE
P62753,RPS6
O43390,HNRNPR
P67809,YBX1
P05165,PCCA
Q71U36,TUBA1A
P16615,ATP2A2
P31943,HNRNPH1
P43243,MATR3
O60264,SMARCA5
P27797,CALR
P17987,TCP1
Q04637,EIF4G1
Q92945,KHSRP
P51114,FXR1
Q16891,IMMT
P10412,H1-4
Q12906,ILF3
P06733,ENO1
P05023,ATP1A1
P49588,AARS1
P30101,PDIA3
P26373,RPL13
P23396,RPS3
P51991,HNRNPA3
P26641,EEF1G
Q14839,CHD4
P50990,CCT8
P11940,PABPC1
P04075,ALDOA
O94906,PRPF6
P49411,TUFM
P12814,ACTN1
P52272,HNRNPM
P20020,ATP2B1
P05204,HMGN2
P08133,ANXA6
P11388,TOP2A
P62263,RPS14
P27348,YWHAQ
Q9Y5B9,SUPT16H
O75400,PRPF40A
O75369,FLNB
Q15233,NONO
P14866,HNRNPL
P07996,THBS1
Q5QNW6,H2BC18
Q12931,TRAP1
Q15459,SF3A1
P49368,CCT3
P55060,CSE1L
P08621,SNRNP70
Q00341,HDLBP
Q9NZM1,MYOF
Q9Y2X3,NOP58
P78344,EIF4G2
P22087,FBL
P62987,UBA52
P34897,SHMT2
P62241,RPS8
Q13263,TRIM28
P46782,RPS5
Q14683,SMC1A
Q13247,SRSF6
O43143,DHX15
Q99729,HNRNPAB
Q13435,SF3B2
P36578,RPL4
P46940,IQGAP1
Q07955,SRSF1
P63104,YWHAZ
P13667,PDIA4
P98160,HSPG2
Q14974,KPNB1
P49756,RBM25
Q9Y2W1,THRAP3
P78371,CCT2
Q86UP2,KTN1
P31930,UQCRC1
P46781,RPS9
P18124,RPL7
Q99623,PHB2
B5ME19,EIF3CL
Q13185,CBX3
P52597,HNRNPF
P35998,PSMC2
P68104,EEF1A1
Q9Y265,RUVBL1
Q5T9A4,ATAD3B
P61353,RPL27
P26599,PTBP1
O95831,AIFM1
Q96AG4,LRRC59
P07954,FH
Q13148,TARDBP
P55209,NAP1L1
P62081,RPS7
Q8WUM4,PDCD6IP
Q14566,MCM6
O15355,PPM1G
Q14697,GANAB
P22314,UBA1
P61247,RPS3A
Q92621,NUP205
Q8WWM7,ATXN2L
O75643,SNRNP200
Q12874,SF3A3
Q02878,RPL6
Q8N1F7,NUP93
P61158,ACTR3
P00367,GLUD1
O00541,PES1
Q14204,DYNC1H1
Q9BXP5,SRRT
P51532,SMARCA4
P62333,PSMC6
P40227,CCT6A
O75475,PSIP1
P27708,CAD
O75494,SRSF10
Q8TD47,RPS4Y2
P15880,RPS2
O43852,CALU
Q9NYF8,BCLAF1
O60716,CTNND1
Q02218,OGDH
P02751,FN1
P00505,GOT2
Q96KR1,ZFR
P28066,PSMA5
P46777,RPL5
P42285,MTREX
Q9H307,PNN
P34932,HSPA4
Q15717,ELAVL1
P07910,HNRNPC
Q14980,NUMA1
O75477,ERLIN1
Q8N163,CCAR2
P35241,RDX
P12270,TPR
P35221,CTNNA1
P53621,COPA
P62195,PSMC5
P31939,ATIC
P39023,RPL3
O15371,EIF3D
Q9H0A0,NAT10
Q15008,PSMD6
Q9UMS4,PRPF19
P43304,GPD2
P05388,RPLP0
P06576,ATP5F1B
P62249,RPS16
P18206,VCL
Q9NSE4,IARS2
P33992,MCM5
P11387,TOP1
P27635,RPL10
P54886,ALDH18A1
O00159,MYO1C
P27695,APEX1
P20042,EIF2S2
P63010,AP2B1
Q9P258,RCC2
P60953,CDC42
P18621,RPL17
Q7KZ85,SUPT6H
P18077,RPL35A
Q15393,SF3B3
P12004,PCNA
Q9NY33,DPP3
Q9Y262,EIF3L
P50991,CCT4
P50213,IDH3A
P04843,RPN1
P17480,UBTF
P45974,USP5
O75821,EIF3G
P49257,LMAN1
Q13823,GNL2
Q99459,CDC5L
P62750,RPL23A
P53396,ACLY
Q92626,PXDN
P12236,SLC25A6
Q9UQ80,PA2G4
P04406,GAPDH
P33176,KIF5B
P41250,GARS1
P30153,PPP2R1A
Q15437,SEC23B
Q8WVX9,FAR1
O94776,MTA2
Q14444,CAPRIN1
O95302,FKBP9
P49207,RPL34
